src_x,src_y,src_z,trg_x,trg_y,trg_z
77903.6,60461.8,44250.0,79884.55,62777.9,44500.0
75768.4,62026.0,45300.0,77689.2,65754.5,44600.0
81901.2,60233.8,41450.0,82376.4,62156.6,41950.0
81439.5,59131.8,42350.0,81995.5,61863.1,43800.0
78914.9,58127.9,50150.0,80751.9,61964.7,50350.0
78844.1,54165.2,52400.0,81044.88,60885.88,51800.0
75662.4,66249.1,30450.0,73087.2,67746.4,37050.0
70938.2,61902.0,35700.0,70353.2,62981.2,36700.0
73051.0,66591.2,35550.0,72321.6,67153.6,36650.0
72420.2,42658.8,32350.0,74429.0,45042.7,37200.0
75391.8,34397.6,25700.0,76681.6,38708.8,35450.0
72298.6,38273.6,27800.0,71821.9,43473.9,35450.0
70814.7,42202.8,30950.0,70004.7,44761.3,36250.0
71308.7,52070.0,40450.0,70438.7,53825.7,43200.0
71153.8,52510.9,40550.0,70734.5,54345.7,43250.0
76649.6,53268.4,34900.0,77915.2,53971.4,35900.0
89440.4,36407.8,67050.0,88662.0,42395.7,70400.0
91670.0,31826.9,52850.0,93121.8,37702.4,61900.0
91832.5,33077.1,50950.0,92756.9,37390.9,62450.0
91357.5,32490.0,45700.0,92761.1,33347.7,59300.0
90243.2,36649.1,56600.0,93027.8,43076.8,61700.0
91906.6,35355.2,54800.0,93822.0,41796.2,62450.0
92351.2,36946.64,53500.0,93338.64,40518.64,62750.0
91322.9,37518.5,57000.0,92568.0,43401.1,63100.0
92271.4,42069.8,55250.0,94304.6,44471.4,59200.0
92064.3,42537.2,55350.0,93500.9,46588.0,61150.0
90493.0,27899.6,55850.0,89303.4,31879.7,64850.0
81685.3,30483.5,63300.0,81816.9,36801.1,69800.0
83952.0,34859.6,65300.0,84280.2,41161.6,68600.0
85412.4,34846.0,69550.0,80486.9,41071.3,68200.0
83305.0,36149.2,65950.0,83216.2,41003.9,69050.0
85302.2,38792.3,64300.0,86883.0,48414.9,67150.0
86932.4,41133.1,62150.0,87948.3,47081.8,66350.0
78214.7,35158.6,63000.0,77507.6,41287.0,66300.0
67959.0,28173.2,58500.0,66013.6,32915.6,63650.0
66282.6,29554.8,58300.0,65133.9,33968.2,63050.0
65207.8,23952.16,50050.0,64520.0,29880.5,56100.0
64505.8,24847.2,49650.0,64467.0,30899.7,56650.0
78591.4,29149.8,62550.0,76266.0,35166.5,68250.0
80352.7,29508.9,63050.0,79102.2,35968.7,69200.0
79205.1,24926.1,62050.0,75382.12,29353.1,68850.0
79074.0,29951.7,62650.0,78324.65,35205.1,69250.0
78887.8,24867.2,61750.0,74786.3,29757.0,68800.0
77854.2,24715.2,61100.0,75190.6,29871.8,68900.0
76691.4,23765.2,60850.0,73921.4,28978.8,68000.0
75901.0,23917.2,60950.0,73505.3,28335.7,68000.0
74715.4,28515.2,59500.0,74417.9,34420.4,67400.0
74677.4,27755.2,59600.0,73127.2,34648.4,66150.0
80930.3,32322.8,34950.0,84481.6,34724.4,42000.0
80096.2,37673.2,35900.0,82270.0,40211.6,42600.0
77383.0,33607.2,26450.0,80541.0,34150.6,36150.0
79997.4,31813.6,30750.0,82825.9,33394.9,42250.0
80453.4,31281.6,33100.0,83922.3,33182.3,42450.0
83292.0,38737.2,41350.0,83752.0,42132.5,48150.0
82782.8,48708.4,40100.0,86662.8,50788.9,44850.0
68339.8,26009.9,22050.0,72126.8,31033.8,31300.0
72013.6,29902.2,23100.0,73066.3,30564.9,31450.0
66454.2,30954.8,23150.0,68536.8,34447.0,31500.0
65945.0,31163.8,23000.0,69288.6,34535.7,31500.0
91108.5,31301.2,45400.0,91837.45,33636.65,53600.0
90888.2,30438.0,46450.0,92111.05,33430.5,54950.0
86077.4,26782.4,38800.0,87801.5,28547.5,51950.0
71717.2,18956.9,42850.0,72212.4,21851.0,56150.0
81545.9,19053.2,41600.0,82794.4,21213.5,52150.0
85002.0,18821.4,46150.0,84405.6,21280.0,58100.0
82205.2,24133.8,35300.0,84895.8,25900.8,47650.0
87301.0,19551.0,55500.0,86505.4,23352.6,61000.0
88281.4,20280.6,54700.0,87916.8,24767.1,62350.0
81120.3,16179.1,50400.0,80415.6,19513.0,61750.0
82108.3,16324.8,48800.0,82190.2,19839.8,61700.0
87414.1,22156.8,59050.0,85754.6,27181.4,68100.0
69285.2,20932.3,47500.0,68216.6,24592.7,55800.0
66712.6,18620.0,35900.0,67970.6,22140.7,48100.0
61252.9,22774.3,30000.0,65658.3,25545.6,36750.0
65855.7,21255.3,43500.0,65915.6,25726.5,50600.0
67381.4,20390.8,44600.0,65427.4,26157.0,56500.0
64675.8,22108.4,39350.0,65296.7,26385.8,48100.0
67273.1,21483.3,44300.0,63106.6,27090.4,55950.0
75560.9,66179.9,38400.0,75808.48,67986.56,39550.0
75445.0,65774.2,40000.0,77778.4,67524.1,41500.0
78203.8,21177.4,29200.0,82110.4,21173.6,43650.0
75035.6,31113.8,33050.0,78113.8,34286.4,41800.0
74146.3,34169.6,50350.0,73463.5,39784.1,54550.0
70007.2,51919.4,38050.0,69171.4,52852.3,39750.0
69737.4,53059.4,49900.0,69320.0,57168.3,52000.0
79678.834,32532.434,36550.0,80761.4,35590.8,45300.0
74863.6,24004.6,59000.0,72701.6,29495.5,65200.0
61730.8,57691.6,60200.0,63729.8,61567.6,60600.0
95471.0,45650.668,67800.0,97827.96,55491.4,72800.0
75801.928,57936.43,33900.0,76078.85,57529.625,35100.0
73437.7,89093.4,79000.0,73661.6,95947.7,76850.0
72716.6,84755.2,93600.0,71884.6,91063.6,91050.0
72880.0,80210.4,106950.0,75191.6,87180.6,106450.0
72511.4,76756.2,119650.0,77396.5,83816.6,119000.0
70085.1,74642.5,133900.0,78608.7,81745.6,135050.0
70436.6,71022.0,152950.0,76680.2,81038.8,152200.0
67427.6,73714.9,165700.0,75234.3,81689.2,165850.0
66739.1,77450.9,179400.0,74816.3,83394.8,179150.0
67262.8,79869.9,192400.0,73684.5,85089.6,192650.0
68022.3,82386.5,207500.0,70303.8,86449.2,210800.0
61517.2,85433.1,226250.0,64656.4,87174.5,222000.0
51383.4,87400.0,76300.0,54651.6,87400.0,76300.0
52447.4,86913.6,90500.0,53587.6,86913.6,90500.0
52356.2,87764.8,104000.0,53678.8,87764.8,104000.0
51748.2,87339.2,119800.0,54286.8,87339.2,119800.0
50897.0,85728.0,131600.0,55138.0,85728.0,131600.0
51018.6,84998.4,145250.0,55016.4,84998.4,145250.0
50167.4,85606.4,158650.0,55867.6,85606.4,158650.0
52474.0,94118.4,203700.0,53561.0,94118.4,203700.0
50745.0,87825.6,171800.0,55290.0,87825.6,171800.0
50562.6,89528.0,182000.0,55472.4,89528.0,182000.0
51094.6,92416.0,193500.0,54940.4,92416.0,193500.0
47917.8,67032.0,78300.0,58117.2,67032.0,78300.0
49650.6,72108.8,90250.0,56384.4,72108.8,90250.0
50684.2,74236.8,103750.0,55350.8,74236.8,103750.0
50258.6,73568.0,118100.0,55776.4,73568.0,118100.0
49225.0,73416.0,131750.0,56810.0,73416.0,131750.0
48769.0,71896.0,145050.0,57266.0,71896.0,145050.0
47917.8,71987.2,159400.0,58117.2,71987.2,159400.0
47796.2,71683.2,173650.0,58238.8,71683.2,173650.0
49483.4,72716.8,196050.0,56551.6,72716.8,196050.0
48586.6,74419.2,185450.0,57448.4,74419.2,185450.0
51280.8,74221.6,207700.0,54754.2,74221.6,207700.0
82268.9,95842.2,67700.0,80396.6,105838.0,58550.0
86682.4,84106.2,91050.0,87449.4,89695.6,91950.0
87027.4,78774.0,104400.0,85127.6,86222.0,106150.0
83301.5,69543.8,116300.0,86636.2,78324.6,115850.0
77641.4,65998.4,134050.0,87259.4,75202.0,139100.0
75080.2,65151.0,154750.0,84949.0,75536.4,155250.0
72443.0,66188.4,172950.0,84800.8,76193.8,176550.0
72088.8,70385.1,195250.0,80176.4,78053.2,194200.0
69846.8,72330.7,203050.0,76301.0,79063.3,210000.0
69102.0,75112.3,218750.0,70479.4,81601.7,222600.0
64283.6,82636.3,234500.0,63659.5,83430.7,230600.0
74540.6,82961.6,97550.0,75773.9,90090.4,95950.0
74080.8,78325.6,111450.0,79017.2,84538.6,110300.0
72967.4,73820.7,123150.0,80144.8,78933.6,123250.0
68536.6,71208.2,161750.0,76805.6,78945.0,162850.0
66815.2,73093.0,175400.0,76239.4,79214.8,176150.0
67042.4,75659.5,190850.0,75172.2,79559.3,190650.0
58443.8,83068.0,229250.0,59376.2,86785.0,224800.0
67932.4,78131.8,206750.0,71892.2,84108.4,208300.0
76766.0,69980.8,81650.0,82167.4,75612.4,79150.0
77345.0,74586.4,91900.0,81308.6,80727.6,89550.0
74289.8,69806.0,103650.0,78403.5,78863.3,104800.0
67586.6,65158.6,114550.0,75658.0,72557.2,116000.0
66189.5,63851.4,128900.0,74761.2,70938.4,129850.0
64075.4,62561.3,144650.0,73678.2,68239.5,143900.0
60030.3,61941.9,157950.0,72108.8,67180.2,158300.0
59320.8,66706.7,186450.0,69886.6,69700.1,185400.0
59857.4,63978.7,171450.0,70874.0,68264.4,171400.0
61706.7,69114.4,202750.0,67590.6,73301.2,200500.0
60191.8,72625.6,217250.0,63629.1,74797.1,215850.0
49232.6,30198.6,24700.0,56802.4,30198.6,24700.0
53374.6,31847.8,34150.0,52660.4,31847.8,34150.0
53237.8,34846.0,29300.0,52797.2,34846.0,29300.0
52998.4,34006.2,29350.0,53036.6,34006.2,29350.0
51125.0,30111.2,29800.0,54910.0,30111.2,29800.0
26150.449999999997,62777.9,44500.0,28131.4,60461.8,44250.0
28345.800000000003,65754.5,44600.0,30266.6,62026.0,45300.0
23658.600000000006,62156.6,41950.0,24133.8,60233.8,41450.0
24039.5,61863.1,43800.0,24595.5,59131.8,42350.0
25283.100000000006,61964.7,50350.0,27120.1,58127.9,50150.0
24990.119999999995,60885.88,51800.0,27190.9,54165.2,52400.0
32947.8,67746.4,37050.0,30372.6,66249.1,30450.0
35681.8,62981.2,36700.0,35096.8,61902.0,35700.0
33713.399999999994,67153.6,36650.0,32984.0,66591.2,35550.0
31606.0,45042.7,37200.0,33614.8,42658.8,32350.0
29353.399999999994,38708.8,35450.0,30643.2,34397.6,25700.0
34213.100000000006,43473.9,35450.0,33736.4,38273.6,27800.0
36030.3,44761.3,36250.0,35220.3,42202.8,30950.0
35596.3,53825.7,43200.0,34726.3,52070.0,40450.0
35300.5,54345.7,43250.0,34881.2,52510.9,40550.0
28119.800000000003,53971.4,35900.0,29385.4,53268.4,34900.0
17373.0,42395.7,70400.0,16594.6,36407.8,67050.0
12913.199999999997,37702.4,61900.0,14365.0,31826.9,52850.0
13278.100000000006,37390.9,62450.0,14202.5,33077.1,50950.0
13273.899999999994,33347.7,59300.0,14677.5,32490.0,45700.0
13007.199999999997,43076.8,61700.0,15791.8,36649.1,56600.0
12213.0,41796.2,62450.0,14128.4,35355.2,54800.0
12696.36,40518.64,62750.0,13683.8,36946.64,53500.0
13467.0,43401.1,63100.0,14712.1,37518.5,57000.0
11730.399999999994,44471.4,59200.0,13763.6,42069.8,55250.0
12534.100000000006,46588.0,61150.0,13970.7,42537.2,55350.0
16731.600000000006,31879.7,64850.0,15542.0,27899.6,55850.0
24218.100000000006,36801.1,69800.0,24349.7,30483.5,63300.0
21754.800000000003,41161.6,68600.0,22083.0,34859.6,65300.0
25548.100000000006,41071.3,68200.0,20622.6,34846.0,69550.0
22818.800000000003,41003.9,69050.0,22730.0,36149.2,65950.0
19152.0,48414.9,67150.0,20732.8,38792.3,64300.0
18086.699999999997,47081.8,66350.0,19102.6,41133.1,62150.0
28527.399999999994,41287.0,66300.0,27820.3,35158.6,63000.0
40021.399999999994,32915.6,63650.0,38076.0,28173.2,58500.0
40901.1,33968.2,63050.0,39752.4,29554.8,58300.0
41515.0,29880.5,56100.0,40827.2,23952.16,50050.0
41568.0,30899.7,56650.0,41529.2,24847.2,49650.0
29769.0,35166.5,68250.0,27443.6,29149.8,62550.0
26932.800000000003,35968.7,69200.0,25682.3,29508.9,63050.0
30652.880000000005,29353.1,68850.0,26829.9,24926.1,62050.0
27710.350000000006,35205.1,69250.0,26961.0,29951.7,62650.0
31248.699999999997,29757.0,68800.0,27147.2,24867.2,61750.0
30844.399999999994,29871.8,68900.0,28180.8,24715.2,61100.0
32113.600000000006,28978.8,68000.0,29343.6,23765.2,60850.0
32529.699999999997,28335.7,68000.0,30134.0,23917.2,60950.0
31617.100000000006,34420.4,67400.0,31319.6,28515.2,59500.0
32907.8,34648.4,66150.0,31357.6,27755.2,59600.0
21553.399999999994,34724.4,42000.0,25104.7,32322.8,34950.0
23765.0,40211.6,42600.0,25938.8,37673.2,35900.0
25494.0,34150.6,36150.0,28652.0,33607.2,26450.0
23209.100000000006,33394.9,42250.0,26037.6,31813.6,30750.0
22112.699999999997,33182.3,42450.0,25581.6,31281.6,33100.0
22283.0,42132.5,48150.0,22743.0,38737.2,41350.0
