x,y,z,x_sym,y_sym,z_sym
55939,14717,55464,56482,14520,50227
55939,14717,61464,57168,14392,55898
55939,14717,67464,57270,14453,62116
55939,14717,73464,56924,14622,68477
55939,20717,49464,56207,20040,44915
55939,20717,55464,57619,19638,49700
55939,20717,61464,58107,19610,55590
55939,20717,67464,57924,19881,62199
55939,20717,73464,57376,20211,68752
55939,26717,43464,55583,25766,40486
55939,26717,49464,56994,25255,45263
55939,26717,55464,58221,24767,50016
55939,26717,61464,58371,24916,56108
55939,26717,67464,57969,25420,62870
55939,26717,73464,57301,25884,69380
55939,32717,31464,54607,31939,30058
55939,32717,37464,56276,31567,35306
55939,32717,43464,56778,31331,40808
55939,32717,49464,57264,30923,46280
55939,32717,55464,57633,30575,51720
55939,32717,61464,57627,30786,57722
55939,32717,67464,57300,31274,64060
55939,38717,49464,57397,37089,47249
55939,38717,55464,57112,36911,53182
55939,62717,61464,52982,62050,61157
55939,62717,67464,50885,62355,67213
55939,62717,73464,48679,62792,73185
55939,62717,79464,47349,63110,79130
55939,62717,85464,47741,63116,85102
55939,62717,157464,44045,63999,157369
55939,62717,163464,43831,63982,163372
55939,62717,169464,43931,63865,169301
55939,68717,49464,55445,68165,49081
55939,68717,55464,54079,68101,55158
55939,68717,61464,52361,68202,61263
55939,68717,67464,50296,68515,67324
55939,68717,73464,48047,68961,73329
55939,68717,79464,46681,69275,79311
55939,68717,85464,47696,69127,85317
55939,68717,91464,48774,68972,91323
55939,68717,97464,49526,68866,97339
55939,68717,103464,49828,68828,103364
55939,68717,109464,49657,68864,109381
55939,68717,115464,49313,68934,115393
55939,68717,121464,48726,69045,121391
55939,68717,127464,47988,69187,127387
55939,68717,133464,47435,69295,133386
55939,68717,139464,47086,69357,139363
55939,68717,145464,46657,69457,145341
55939,68717,151464,46008,69613,151370
55939,68717,157464,45308,69753,157405
55939,68717,163464,45044,69747,163404
55939,68717,169464,45043,69642,169363
55939,68717,175464,45104,69521,175311
55939,68717,181464,45461,69371,181242
55939,68717,187464,46219,69210,187166
55939,68717,193464,47488,69072,193110
55939,68717,199464,49095,68906,199039
55939,68717,205464,50608,68744,205022
